query_id,poi_id,rank,score,candidate_source,source
mobilitybench_q_339a6d8022e406d062,mobilitybench:8fdde3d05b6ad11892,1,,poi_result,mobilitybench
mobilitybench_q_b73a09cec2435c4322,mobilitybench:0f926c78958912b11d,1,,near_poi_ans,mobilitybench
mobilitybench_q_b73a09cec2435c4322,mobilitybench:be2b489cffbdf62e5c,2,,near_poi_ans,mobilitybench
mobilitybench_q_b73a09cec2435c4322,mobilitybench:fcb26cc7b2c57cebb8,3,,near_poi_ans,mobilitybench
mobilitybench_q_b73a09cec2435c4322,mobilitybench:9b176d8ad3db7afe84,4,,near_poi_ans,mobilitybench
mobilitybench_q_b73a09cec2435c4322,mobilitybench:2f8d1eb63cdef08e55,5,,near_poi_ans,mobilitybench
mobilitybench_q_b73a09cec2435c4322,mobilitybench:c2b784365519ae2846,6,,near_poi_ans,mobilitybench
mobilitybench_q_b73a09cec2435c4322,mobilitybench:05d77782734a0a4dc3,7,,near_poi_ans,mobilitybench
mobilitybench_q_b73a09cec2435c4322,mobilitybench:7b967c2033af732cb4,8,,near_poi_ans,mobilitybench
mobilitybench_q_b73a09cec2435c4322,mobilitybench:95ef67c469f2fec104,9,,near_poi_ans,mobilitybench
mobilitybench_q_b73a09cec2435c4322,mobilitybench:966fc600e7cc635c87,10,,near_poi_ans,mobilitybench
mobilitybench_q_b73a09cec2435c4322,mobilitybench:f22f1333b4ef7237ce,11,,poi_result,mobilitybench
mobilitybench_q_ef7282fe4d233324e0,mobilitybench:2747e4bf5f34cc0d70,1,,poi_result,mobilitybench
mobilitybench_q_2d4d1a0ac8b88e2420,mobilitybench:973b0b829b016a1cb9,1,,near_poi_ans,mobilitybench
mobilitybench_q_2d4d1a0ac8b88e2420,mobilitybench:ce6aeb9ea21acc5f1c,2,,near_poi_ans,mobilitybench
mobilitybench_q_2d4d1a0ac8b88e2420,mobilitybench:08eb4b10a3c1d1b23d,3,,near_poi_ans,mobilitybench
mobilitybench_q_2d4d1a0ac8b88e2420,mobilitybench:afe39c5afa99108541,4,,near_poi_ans,mobilitybench
mobilitybench_q_2d4d1a0ac8b88e2420,mobilitybench:90ad5d3229fa1efc5a,5,,near_poi_ans,mobilitybench
mobilitybench_q_2d4d1a0ac8b88e2420,mobilitybench:6d3e2e04d60f2cb6c7,6,,near_poi_ans,mobilitybench
mobilitybench_q_2d4d1a0ac8b88e2420,mobilitybench:0b2bf8d7714d05cc96,7,,near_poi_ans,mobilitybench
mobilitybench_q_2d4d1a0ac8b88e2420,mobilitybench:9ffaca4be2b8bbc64c,8,,near_poi_ans,mobilitybench
mobilitybench_q_2d4d1a0ac8b88e2420,mobilitybench:4fd7fc185d5222870d,9,,near_poi_ans,mobilitybench
mobilitybench_q_2d4d1a0ac8b88e2420,mobilitybench:ac5bd49394a7c6d6e1,10,,near_poi_ans,mobilitybench
mobilitybench_q_2d4d1a0ac8b88e2420,mobilitybench:f4662314b510d8c6f4,11,,poi_result,mobilitybench
mobilitybench_q_1aefdb0657875de43f,mobilitybench:3482e15fc7cef0032c,1,,near_poi_ans,mobilitybench
mobilitybench_q_1aefdb0657875de43f,mobilitybench:d2bf9020b05b101d5a,2,,near_poi_ans,mobilitybench
mobilitybench_q_1aefdb0657875de43f,mobilitybench:d5deaa17298278c62a,3,,near_poi_ans,mobilitybench
mobilitybench_q_1aefdb0657875de43f,mobilitybench:840b69ca8c1d72bf49,4,,near_poi_ans,mobilitybench
mobilitybench_q_1aefdb0657875de43f,mobilitybench:9f2ddba4630e6b7101,5,,near_poi_ans,mobilitybench
mobilitybench_q_1aefdb0657875de43f,mobilitybench:0bcae6e03a15ea9454,6,,near_poi_ans,mobilitybench
mobilitybench_q_1aefdb0657875de43f,mobilitybench:7ae7e97dfb7d3d2b7e,7,,near_poi_ans,mobilitybench
mobilitybench_q_1aefdb0657875de43f,mobilitybench:f20239df97e2c82b26,8,,near_poi_ans,mobilitybench
mobilitybench_q_1aefdb0657875de43f,mobilitybench:b4e7bd61e134eb64b3,9,,near_poi_ans,mobilitybench
mobilitybench_q_1aefdb0657875de43f,mobilitybench:91edcd21e2654f0e63,10,,near_poi_ans,mobilitybench
mobilitybench_q_96fac910be28006830,mobilitybench:b33b070e9ea3fec65f,1,,poi_result,mobilitybench
mobilitybench_q_34fef6fdb55ef5f084,mobilitybench:83cab8a9c85b0479b8,1,,poi_result,mobilitybench
mobilitybench_q_cebd340b3a7add64f6,mobilitybench:4431d542afae4d302f,1,,poi_result,mobilitybench
mobilitybench_q_ec71dfccb33a2a43fe,mobilitybench:5bee6f9f018dff2b9a,1,,near_poi_ans,mobilitybench
mobilitybench_q_ec71dfccb33a2a43fe,mobilitybench:221ab7d7de0503b66f,2,,near_poi_ans,mobilitybench
mobilitybench_q_ec71dfccb33a2a43fe,mobilitybench:850e096359cd2967e1,3,,near_poi_ans,mobilitybench
mobilitybench_q_ec71dfccb33a2a43fe,mobilitybench:3ea50f2d4fb02a2879,4,,near_poi_ans,mobilitybench
mobilitybench_q_ec71dfccb33a2a43fe,mobilitybench:b4dfd1f9f9e9c442c1,5,,near_poi_ans,mobilitybench
