query_id,poi_id,label,source
mobilitybench_q_339a6d8022e406d062,mobilitybench:8fdde3d05b6ad11892,1,mobilitybench
mobilitybench_q_ef7282fe4d233324e0,mobilitybench:2747e4bf5f34cc0d70,1,mobilitybench
mobilitybench_q_29e277049326da9ce6,mobilitybench:aee9c07922bd3509d0,1,mobilitybench
mobilitybench_q_0ca4074ddceae1ab21,mobilitybench:7390a265a55307bf97,1,mobilitybench
mobilitybench_q_949d7c44341d17a0a6,mobilitybench:980b8126b1dc5aaae5,1,mobilitybench
mobilitybench_q_8040cf1a2912bb4596,mobilitybench:ef078a6c3ab12a725d,1,mobilitybench
mobilitybench_q_af8db7c28c8caf8501,mobilitybench:21b4c304d16a3e1cfa,1,mobilitybench
mobilitybench_q_ae57222cc9cc47f891,mobilitybench:675e9a91de536bbbb3,1,mobilitybench
mobilitybench_q_7d1210be43502f4d46,mobilitybench:1f99b73ed289f1982e,1,mobilitybench
mobilitybench_q_27be76dc082c48f3d5,mobilitybench:e9747a95faa7e91343,1,mobilitybench
mobilitybench_q_f3a436bf8acb754407,mobilitybench:4c6a3647504e43025d,1,mobilitybench
mobilitybench_q_8d3914ed0deda2504a,mobilitybench:9da00c4bf5b58a735f,1,mobilitybench
mobilitybench_q_602192db5aee23b39a,mobilitybench:96177b85cdaac6b64e,1,mobilitybench
mobilitybench_q_8330a84cfd17820aba,mobilitybench:62af8139b881267095,1,mobilitybench
mobilitybench_q_adf363d472d5d0bef2,mobilitybench:4c7a1a0741ad6072ff,1,mobilitybench
mobilitybench_q_c143a3d09cb7ee4adf,mobilitybench:470b74e7244a5b26d0,1,mobilitybench
mobilitybench_q_f8636a3d34a15bda87,mobilitybench:6ae486379dc3ab57fd,1,mobilitybench
mobilitybench_q_7ac73bb0787d4cfd9e,mobilitybench:5aafd92a9b4b4dabde,1,mobilitybench
mobilitybench_q_f6e4cc34330576930f,mobilitybench:22390bdbc222efc4c8,1,mobilitybench
mobilitybench_q_2cfca3ee2fd42378e1,mobilitybench:105cec2b702e254116,1,mobilitybench
mobilitybench_q_fbfaa755644261814b,mobilitybench:9dbed9a3b0499d2d4c,1,mobilitybench
mobilitybench_q_8a4bc183b5a77ab7b2,mobilitybench:c5b4526aa6d59a984d,1,mobilitybench
mobilitybench_q_e9203dc8b56a5582b5,mobilitybench:5b4eb665a73a09ea23,1,mobilitybench
mobilitybench_q_4302d3108ed6fd92a7,mobilitybench:7964727ff53d5ed108,1,mobilitybench
mobilitybench_q_646dad28353d23edbb,mobilitybench:d35b65c6884bf20562,1,mobilitybench
mobilitybench_q_1a4271f6b81a6210cc,mobilitybench:57a97e2a043fbd3379,1,mobilitybench
mobilitybench_q_39223972fc7baa2db6,mobilitybench:e5f9509ba8281bdff9,1,mobilitybench
mobilitybench_q_6fa4f4262373a84371,mobilitybench:42dba992499ed72caf,1,mobilitybench
mobilitybench_q_7284085e1f800a9d38,mobilitybench:b24b5b9bdd8739615a,1,mobilitybench
mobilitybench_q_976039778cb7b338de,mobilitybench:8b90b1aff8d08d26cc,1,mobilitybench
