epoch,phase,train_total_loss,train_base_total_loss,train_recon_loss,train_commitment_loss,train_codebook_loss,train_tag_loss,train_weighted_tag_loss,train_unique_loss,train_weighted_unique_loss,train_tag_examples,train_tag_accuracy,train_unique_candidate_pairs,train_valid_collision_pair_count,train_mean_valid_collision_pairs_per_batch,train_zero_pair_batch_rate,train_unique_active_pairs,train_active_margin_pair_count,train_active_margin_pair_rate,train_collision_pair_mean_cosine,train_collision_sample_rate,train_weighted_tag_to_base_ratio,train_weighted_unique_to_base_ratio,val_total_loss,val_recon_loss,val_commitment_loss,val_codebook_loss,val_recon_cosine,codebook0_used,codebook0_usage_rate,codebook1_used,codebook1_usage_rate,codebook2_used,codebook2_usage_rate,val_online_unique_sid_rate,tag_heldout_loss,tag_heldout_accuracy,tag_heldout_macro_f1,lr,elapsed_seconds
1,warmup,0.9040498539031633,0.8181886445522872,0.72563980958132,0.07403906548048658,0.07403906548048658,2.793169373989651,0.0698564842078458,0.16101284885520661,0.016004726294113078,66416.0,0.2765749217056131,17408.0,17408.0,128.0,0.0,7779.0,7779.0,0.44686351102941174,0.7477370003531071,0.25095868292823575,0.08537943501534571,0.019561168931733174,0.8105348282789787,0.724473637622548,0.06884894535983584,0.06884894535983584,0.5165346403360846,127.0,0.9921875,128.0,1.0,128.0,1.0,0.8888279392942037,2.497494578498775,0.5642127888232134,0.5044764148890651,0.0005,27.178300857543945
2,warmup,0.8912778662789037,0.8183447944249392,0.72602348804467,0.07385704473296455,0.07385704473296455,2.2503082213509695,0.05625431180787403,0.16729882365613297,0.01667876170997395,65803.0,0.6776286795434858,17408.0,17408.0,128.0,0.0,7806.0,7806.0,0.44841452205882354,0.745995876398143,0.25095868292823575,0.06874157713363915,0.020381093426144806,0.8105348282789787,0.724473637622548,0.06884894535983584,0.06884894535983584,0.5165346403360846,127.0,0.9921875,128.0,1.0,128.0,1.0,0.8888279392942037,2.0142317983334928,0.7994165962999923,0.7796423850401986,0.0005,30.342360496520996
3,warmup,0.8801022669908322,0.8184853942220408,0.7261272615511738,0.07388650788777229,0.07388650788777229,1.8336071693868947,0.045849557724751716,0.15744359809770456,0.01576731390063673,66554.0,0.8102743636746101,17408.0,17408.0,128.0,0.0,7736.0,7736.0,0.4443933823529412,0.7443941067964154,0.25095868292823575,0.056017563720035704,0.01926401376486791,0.8105348282789787,0.724473637622548,0.06884894535983584,0.06884894535983584,0.5165346403360846,127.0,0.9921875,128.0,1.0,128.0,1.0,0.8888279392942037,1.6507241703959377,0.8602134029323713,0.845804506200877,0.0005,33.85644745826721
4,joint,0.8812726726427632,0.833926322860048,0.7282774529390275,0.08451909799315341,0.08451909799315341,1.2387762203402988,0.030976005590051713,0.16571707377313238,0.016370343592511865,66755.0,0.8938955883454422,17408.0,17408.0,128.0,0.0,6186.0,6186.0,0.35535386029411764,0.7375566695178243,0.25095868292823575,0.03714477495303887,0.01963044353410965,0.8290743854194526,0.7286103713619227,0.08037120035855812,0.08037120035855812,0.512732219294975,128.0,1.0,128.0,1.0,128.0,1.0,0.8937648564637045,1.0162160496687207,0.9209334459200123,0.9087380429958316,0.0005,41.969136476516724
5,joint,0.8757344113001034,0.8372812636998535,0.7291041391069005,0.08654170158586813,0.08654170158586813,0.9299103675396145,0.023244536979024004,0.15361260678556896,0.015208610665102859,66762.0,0.9218118091129684,17408.0,17408.0,128.0,0.0,5386.0,5386.0,0.30939797794117646,0.7260979612953687,0.25095868292823575,0.02776192181383465,0.01816427922666953,0.8283311409583191,0.7281490706900483,0.08014566410304991,0.08014566410304991,0.5132151324868006,127.0,0.9921875,128.0,1.0,128.0,1.0,0.8997988663375388,0.834107797043536,0.9296845014201274,0.9190267416399267,0.0005,49.514586448669434
6,joint,0.8737017763110211,0.8390636989475242,0.7306540673075294,0.08672770451780862,0.08672770451780862,0.7968221525079843,0.019928409684921714,0.14772004171106254,0.014709668798401741,66407.0,0.9303989037300284,17408.0,17408.0,128.0,0.0,4824.0,4824.0,0.2771139705882353,0.717305092689725,0.25095868292823575,0.023750770900849157,0.01753105135742703,0.8285813483966946,0.7286796316430912,0.07992137175391897,0.07992137175391897,0.5126862029833993,128.0,1.0,128.0,1.0,128.0,1.0,0.9005302614737613,0.7302877608187102,0.9358255929991556,0.9258401042963442,0.0005,72.61998128890991
7,joint,0.8698402782011426,0.8376407728913409,0.7299247248752325,0.08617283697961177,0.08617283697961177,0.7204483130763255,0.018028218444314664,0.14037365368177843,0.014171289218081562,66517.0,0.9352947366838552,17408.0,17408.0,128.0,0.0,4614.0,4614.0,0.26505055147058826,0.7114212041145519,0.25095868292823575,0.021522613306042222,0.016918098636919943,0.8284396470345055,0.7290528585017545,0.07950942716780082,0.07950942716780082,0.5121421430332828,128.0,1.0,128.0,1.0,128.0,1.0,0.9052843298592065,0.6806458716721219,0.9385890842097183,0.9300479391390094,0.0005,79.84538078308105
8,joint,0.867952015094855,0.8377459638465823,0.7306385192151913,0.08568595587722612,0.08568595587722612,0.6743054534876471,0.0168616887879301,0.13385300008176312,0.013344364275136673,66365.0,0.9388382430498003,17408.0,17408.0,128.0,0.0,4590.0,4590.0,0.263671875,0.7097416294572587,0.25095868292823575,0.02012744855314875,0.015928891156771298,0.8279399066525898,0.7292716034283955,0.07893465167263304,0.07893465167263304,0.5120087367434631,128.0,1.0,128.0,1.0,128.0,1.0,0.9058328762113732,0.6400535732354428,0.9412758117755431,0.9323236340516907,0.0005,86.88751482963562
9,joint,0.8667064963322528,0.8369389456905639,0.7305743114361833,0.08509170923458197,0.08509170923458197,0.6402854499207289,0.016013042396658135,0.1382648827212563,0.013754508343149539,66378.0,0.941456506673898,17408.0,17408.0,128.0,0.0,4122.0,4122.0,0.2367876838235294,0.7056797039797803,0.25095868292823575,0.01913286802951399,0.016434303139998583,0.8279158083933497,0.7290264064857175,0.07911152316880282,0.07911152316880282,0.5123236442226927,127.0,0.9921875,128.0,1.0,128.0,1.0,0.9083927591881514,0.6120085239392099,0.9424272664466109,0.9349417465047116,0.0005,93.82800388336182
10,joint,0.8632027174391019,0.8350073382010513,0.7288027267206107,0.08496369054377245,0.08496369054377245,0.617521338518511,0.01544140064892577,0.1270610584248214,0.01275397554612771,66711.0,0.9437723913597458,17408.0,17408.0,128.0,0.0,4134.0,4134.0,0.23747702205882354,0.701723159828415,0.25095868292823575,0.01849253287066062,0.015274087978202695,0.8281768613485907,0.7293669512097939,0.07904792559999155,0.07904792559999155,0.511863894034487,128.0,1.0,128.0,1.0,128.0,1.0,0.9072956664838179,0.6020960174097729,0.9428110846703002,0.934796865479686,0.0005,100.71151852607727
